State,country,latitude,longitude
AE,USA,46.891089900,-96.806282700
AG,USA,35.147252300,-103.577749000
AK,USA,64.200841300,-149.493673300
AL,USA,32.318231400,-86.902298000
AR,USA,35.201050000,-91.831833400
AZ,USA,34.048928100,-111.093731100
C,USA,37.090240000,-95.712891000
CA,USA,36.778261000,-119.417932400
CO,USA,39.550050700,-105.782067400
CT,USA,41.603220700,-73.087749000
DC,USA,38.905984900,-77.033417900
DE,USA,38.910832500,-75.527669900
FL,USA,27.664827400,-81.515753500
GA,USA,32.157435100,-82.907123000
GT,USA,34.024545000,-118.407283700
GU,USA,29.526658900,-97.936336900
HI,USA,19.896766200,-155.582781800
IA,USA,41.878002500,-93.097702000
ID,USA,44.068201900,-114.742040800
IL,USA,40.633124900,-89.398528300
IN,USA,40.267194100,-86.134901900
KS,USA,39.011902000,-98.484246500
KY,USA,37.839333200,-84.270017900
LA,USA,31.244823400,-92.145024500
MA,USA,42.407210700,-71.382437400
MC,USA,42.467206000,-71.287420900
MD,USA,39.045754900,-76.641271200
ME,USA,45.253783000,-69.445468900
MI,USA,44.314844300,-85.602364300
MN,USA,46.729553000,-94.685899800
MO,USA,37.964252900,-91.831833400
MS,USA,32.354667900,-89.398528300
MT,USA,46.879682200,-110.362565800
NC,USA,35.759573100,-79.019299700
ND,USA,47.551492600,-101.002011900
NE,USA,41.492537400,-99.901813100
NH,USA,43.193851600,-71.572395300
NJ,USA,40.058323800,-74.405661200
NM,USA,34.519940200,-105.870090100
NV,USA,38.802609700,-116.419389000
NY,USA,40.714352800,-74.005973100
OH,USA,40.417287100,-82.907123000
OK,USA,35.007751900,-97.092877000
ON,USA,51.253775000,-85.323213900
OR,USA,43.804133400,-120.554201200
PA,USA,41.203321600,-77.194524700
PR,USA,39.002556100,-94.349165000
QC,USA,52.939915900,-73.549136100
RI,USA,41.580094500,-71.477429100
SC,USA,33.836081000,-81.163724500
SD,USA,43.969514800,-99.901813100
SV,USA,39.734784900,-84.170385200
TN,USA,35.517491300,-86.580447300
TX,USA,31.968598800,-99.901813100
UT,USA,39.320980100,-111.093731100
VA,USA,37.431573400,-78.656894200
VI,USA,36.559581000,-96.159031000
VT,USA,44.558802800,-72.577841500
WA,USA,47.751074100,-120.740138600
WI,USA,43.784439700,-88.787867800
WV,USA,38.597626200,-80.454902600
WY,USA,43.075967800,-107.290283900
