DATE,VALUE
1919-01-01,4.8582
1919-02-01,4.6435
1919-03-01,4.5092
1919-04-01,4.5898
1919-05-01,4.6166
1919-06-01,4.9119
1919-07-01,5.2071
1919-08-01,5.2876
1919-09-01,5.1803
1919-10-01,5.1266
1919-11-01,5.0461
1919-12-01,5.1266
1920-01-01,5.6097
1920-02-01,5.6097
1920-03-01,5.5024
1920-04-01,5.2071
1920-05-01,5.3413
1920-06-01,5.3950
1920-07-01,5.2608
1920-08-01,5.2876
1920-09-01,5.0997
1920-10-01,4.8850
1920-11-01,4.4824
1920-12-01,4.2140
1921-01-01,3.9724
1921-02-01,3.8919
1921-03-01,3.7845
1921-04-01,3.7845
1921-05-01,3.8919
1921-06-01,3.8651
1921-07-01,3.8382
1921-08-01,3.9724
1921-09-01,3.9993
1921-10-01,4.2408
1921-11-01,4.1872
1921-12-01,4.1603
1922-01-01,4.3214
1922-02-01,4.5093
1922-03-01,4.7508
1922-04-01,4.5898
1922-05-01,4.8313
1922-06-01,5.0729
1922-07-01,5.0729
1922-08-01,4.9655
1922-09-01,5.2340
1922-10-01,5.5292
1922-11-01,5.7708
1922-12-01,5.9318
1923-01-01,5.7976
1923-02-01,5.8781
1923-03-01,6.0660
1923-04-01,6.2002
1923-05-01,6.2807
1923-06-01,6.2271
1923-07-01,6.1734
1923-08-01,6.0660
1923-09-01,5.9318
1923-10-01,5.9050
1923-11-01,5.9050
1923-12-01,5.7708
1924-01-01,5.9050
1924-02-01,6.0123
1924-03-01,5.9050
1924-04-01,5.7171
1924-05-01,5.4755
1924-06-01,5.2339
1924-07-01,5.1534
1924-08-01,5.3413
1924-09-01,5.5292
1924-10-01,5.6634
1924-11-01,5.7708
1924-12-01,5.9318
1925-01-01,6.1197
1925-02-01,6.1197
1925-03-01,6.1197
1925-04-01,6.1734
1925-05-01,6.1465
1925-06-01,6.0929
1925-07-01,6.2539
1925-08-01,6.1465
1925-09-01,6.0660
1925-10-01,6.3076
1925-11-01,6.4418
1925-12-01,6.5223
1926-01-01,6.4149
1926-02-01,6.4149
1926-03-01,6.4955
1926-04-01,6.4955
1926-05-01,6.4418
1926-06-01,6.5223
1926-07-01,6.5491
1926-08-01,6.6297
1926-09-01,6.7370
1926-10-01,6.7370
1926-11-01,6.7102
1926-12-01,6.6834
1927-01-01,6.6565
1927-02-01,6.7102
1927-03-01,6.7907
1927-04-01,6.6297
1927-05-01,6.6834
1927-06-01,6.6565
1927-07-01,6.5760
1927-08-01,6.5760
1927-09-01,6.4686
1927-10-01,6.3344
1927-11-01,6.3344
1927-12-01,6.3613
1928-01-01,6.4955
1928-02-01,6.5491
1928-03-01,6.6028
1928-04-01,6.5760
1928-05-01,6.6565
1928-06-01,6.7102
1928-07-01,6.7907
1928-08-01,6.9249
1928-09-01,6.9786
1928-10-01,7.1128
1928-11-01,7.2470
1928-12-01,7.3812
1929-01-01,7.4886
1929-02-01,7.4617
1929-03-01,7.4886
1929-04-01,7.6228
1929-05-01,7.7570
1929-06-01,7.8107
1929-07-01,7.9180
1929-08-01,7.8375
1929-09-01,7.7838
1929-10-01,7.6496
1929-11-01,7.2738
1929-12-01,6.9518
1930-01-01,6.9518
1930-02-01,6.9249
1930-03-01,6.8175
1930-04-01,6.7639
1930-05-01,6.6565
1930-06-01,6.4686
1930-07-01,6.1734
1930-08-01,6.0392
1930-09-01,5.9318
1930-10-01,5.7708
1930-11-01,5.6366
1930-12-01,5.5024
1931-01-01,5.4755
1931-02-01,5.5024
1931-03-01,5.6097
1931-04-01,5.6366
1931-05-01,5.5560
1931-06-01,5.4218
1931-07-01,5.3413
1931-08-01,5.1534
1931-09-01,4.9119
1931-10-01,4.7240
1931-11-01,4.6703
1931-12-01,4.6434
1932-01-01,4.5092
1932-02-01,4.4019
1932-03-01,4.3482
1932-04-01,4.0530
1932-05-01,3.9188
1932-06-01,3.7845
1932-07-01,3.6772
1932-08-01,3.7845
1932-09-01,4.0261
1932-10-01,4.1603
1932-11-01,4.1603
1932-12-01,4.0798
1933-01-01,3.9993
1933-02-01,4.0261
1933-03-01,3.7845
1933-04-01,4.0530
1933-05-01,4.7240
1933-06-01,5.4487
1933-07-01,5.9586
1933-08-01,5.7171
1933-09-01,5.3950
1933-10-01,5.1266
1933-11-01,4.8313
1933-12-01,4.8582
1934-01-01,5.0192
1934-02-01,5.2608
1934-03-01,5.5024
1934-04-01,5.5024
1934-05-01,5.6097
1934-06-01,5.5024
1934-07-01,5.1266
1934-08-01,5.0729
1934-09-01,4.7777
1934-10-01,4.9924
1934-11-01,5.0461
1934-12-01,5.3682
1935-01-01,5.7976
1935-02-01,5.9050
1935-03-01,5.8781
1935-04-01,5.7708
1935-05-01,5.7708
1935-06-01,5.8513
1935-07-01,5.8513
1935-08-01,6.0660
1935-09-01,6.2271
1935-10-01,6.4149
1935-11-01,6.5491
1935-12-01,6.6297
1936-01-01,6.5223
1936-02-01,6.3613
1936-03-01,6.4418
1936-04-01,6.8444
1936-05-01,6.9786
1936-06-01,7.1128
1936-07-01,7.2470
1936-08-01,7.3544
1936-09-01,7.4886
1936-10-01,7.5959
1936-11-01,7.8107
1936-12-01,8.0522
1937-01-01,8.0254
1937-02-01,8.1327
1937-03-01,8.3206
1937-04-01,8.3206
1937-05-01,8.3475
1937-06-01,8.2401
1937-07-01,8.2938
1937-08-01,8.2401
1937-09-01,7.9717
1937-10-01,7.3812
1937-11-01,6.6565
1937-12-01,6.0660
1938-01-01,5.9318
1938-02-01,5.8781
1938-03-01,5.8781
1938-04-01,5.7708
1938-05-01,5.6366
1938-06-01,5.6902
1938-07-01,6.0123
1938-08-01,6.3344
1938-09-01,6.5223
1938-10-01,6.6834
1938-11-01,6.9518
1938-12-01,7.0323
1939-01-01,7.0323
1939-02-01,7.0860
1939-03-01,7.1128
1939-04-01,7.0860
1939-05-01,7.0591
1939-06-01,7.2202
1939-07-01,7.4349
1939-08-01,7.5423
1939-09-01,7.9985
1939-10-01,8.4012
1939-11-01,8.6159
1939-12-01,8.6159
1940-01-01,8.5085
1940-02-01,8.2401
1940-03-01,8.0522
1940-04-01,8.2133
1940-05-01,8.4548
1940-06-01,8.7232
1940-07-01,8.8306
1940-08-01,8.8843
1940-09-01,9.0722
1940-10-01,9.2064
1940-11-01,9.4211
1940-12-01,9.7432
1941-01-01,9.9848
1941-02-01,10.2800
1941-03-01,10.6021
1941-04-01,10.6289
1941-05-01,11.1121
1941-06-01,11.1926
1941-07-01,11.3268
1941-08-01,11.4610
1941-09-01,11.4610
1941-10-01,11.5684
1941-11-01,11.6221
1941-12-01,11.8099
1942-01-01,12.0515
1942-02-01,12.2662
1942-03-01,12.4004
1942-04-01,12.0515
1942-05-01,12.0783
1942-06-01,12.1052
1942-07-01,12.4004
1942-08-01,12.7762
1942-09-01,13.0715
1942-10-01,13.5009
1942-11-01,13.8230
1942-12-01,14.1451
1943-01-01,14.2793
1943-02-01,14.6551
1943-03-01,14.7624
1943-04-01,14.9503
1943-05-01,15.0577
1943-06-01,14.9772
1943-07-01,15.4334
1943-08-01,15.7555
1943-09-01,16.1581
1943-10-01,16.3997
1943-11-01,16.6144
1943-12-01,16.3997
1944-01-01,16.5876
1944-02-01,16.7218
1944-03-01,16.6950
1944-04-01,16.6950
1944-05-01,16.5876
1944-06-01,16.5339
1944-07-01,16.5071
1944-08-01,16.7218
1944-09-01,16.6144
1944-10-01,16.6681
1944-11-01,16.5339
1944-12-01,16.4802
1945-01-01,16.3192
1945-02-01,16.2655
1945-03-01,16.1581
1945-04-01,15.8629
1945-05-01,15.4335
1945-06-01,15.0845
1945-07-01,14.7356
1945-08-01,13.2057
1945-09-01,12.0247
1945-10-01,11.5415
1945-11-01,11.9710
1945-12-01,12.0247
1946-01-01,11.3536
1946-02-01,10.7900
1946-03-01,11.9173
1946-04-01,11.7026
1946-05-01,11.2731
1946-06-01,11.9710
1946-07-01,12.3736
1946-08-01,12.8299
1946-09-01,13.0715
1946-10-01,13.3130
1946-11-01,13.3935
1946-12-01,13.4741
1947-01-01,13.6351
1947-02-01,13.7156
1947-03-01,13.7962
1947-04-01,13.6888
1947-05-01,13.7425
1947-06-01,13.7425
1947-07-01,13.6619
1947-08-01,13.7425
1947-09-01,13.8498
1947-10-01,13.9840
1947-11-01,14.1719
1947-12-01,14.2256
1948-01-01,14.3061
1948-02-01,14.3330
1948-03-01,14.1719
1948-04-01,14.1988
1948-05-01,14.4403
1948-06-01,14.6282
1948-07-01,14.6282
1948-08-01,14.5745
1948-09-01,14.4672
1948-10-01,14.5745
1948-11-01,14.3867
1948-12-01,14.2524
1949-01-01,14.1182
1949-02-01,13.9840
1949-03-01,13.7156
1949-04-01,13.6351
1949-05-01,13.4472
1949-06-01,13.4204
1949-07-01,13.3935
1949-08-01,13.5277
1949-09-01,13.6620
1949-10-01,13.1520
1949-11-01,13.5009
1949-12-01,13.7425
1950-01-01,13.9840
1950-02-01,14.0377
1950-03-01,14.4940
1950-04-01,14.9771
1950-05-01,15.3261
1950-06-01,15.7824
1950-07-01,16.2923
1950-08-01,16.8023
1950-09-01,16.6950
1950-10-01,16.8023
1950-11-01,16.7755
1950-12-01,17.0707
1951-01-01,17.1244
1951-02-01,17.2318
1951-03-01,17.3123
1951-04-01,17.3391
1951-05-01,17.2855
1951-06-01,17.2049
1951-07-01,16.9365
1951-08-01,16.7755
1951-09-01,16.8828
1951-10-01,16.8560
1951-11-01,16.9902
1951-12-01,17.0976
1952-01-01,17.2854
1952-02-01,17.3928
1952-03-01,17.4465
1952-04-01,17.2854
1952-05-01,17.1244
1952-06-01,16.9634
1952-07-01,16.6949
1952-08-01,17.7686
1952-09-01,18.4128
1952-10-01,18.6007
1952-11-01,18.9764
1952-12-01,19.0838
1953-01-01,19.1375
1953-02-01,19.2448
1953-03-01,19.4059
1953-04-01,19.4864
1953-05-01,19.5938
1953-06-01,19.5132
1953-07-01,19.7548
1953-08-01,19.6474
1953-09-01,19.2448
1953-10-01,19.0838
1953-11-01,18.6275
1953-12-01,18.1712
1954-01-01,18.0370
1954-02-01,18.0907
1954-03-01,17.9833
1954-04-01,17.8759
1954-05-01,17.9833
1954-06-01,18.0370
1954-07-01,18.0638
1954-08-01,18.0370
1954-09-01,18.0638
1954-10-01,18.2786
1954-11-01,18.5738
1954-12-01,18.8154
1955-01-01,19.2448
1955-02-01,19.4864
1955-03-01,19.9427
1955-04-01,20.1843
1955-05-01,20.5063
1955-06-01,20.5332
1955-07-01,20.6942
1955-08-01,20.6674
1955-09-01,20.8016
1955-10-01,21.1505
1955-11-01,21.2042
1955-12-01,21.2847
1956-01-01,21.4189
1956-02-01,21.2311
1956-03-01,21.2311
1956-04-01,21.3921
1956-05-01,21.2042
1956-06-01,21.0163
1956-07-01,20.3721
1956-08-01,21.2042
1956-09-01,21.6873
1956-10-01,21.8752
1956-11-01,21.6873
1956-12-01,22.0094
1957-01-01,21.9289
1957-02-01,22.1437
1957-03-01,22.1168
1957-04-01,21.8215
1957-05-01,21.7410
1957-06-01,21.7947
1957-07-01,21.9289
1957-08-01,21.9289
1957-09-01,21.7410
1957-10-01,21.4189
1957-11-01,20.9090
1957-12-01,20.5063
1958-01-01,20.1306
1958-02-01,19.7011
1958-03-01,19.4596
1958-04-01,19.1375
1958-05-01,19.3253
1958-06-01,19.8353
1958-07-01,20.1306
1958-08-01,20.5332
1958-09-01,20.7211
1958-10-01,20.9626
1958-11-01,21.5800
1958-12-01,21.6068
1959-01-01,21.9289
1959-02-01,22.3584
1959-03-01,22.6805
1959-04-01,23.1636
1959-05-01,23.5125
1959-06-01,23.5394
1959-07-01,22.9757
1959-08-01,22.1973
1959-09-01,22.1705
1959-10-01,22.0094
1959-11-01,22.1436
1959-12-01,23.5125
1960-01-01,24.1298
1960-02-01,23.9151
1960-03-01,23.7004
1960-04-01,23.5125
1960-05-01,23.4857
1960-06-01,23.1904
1960-07-01,23.1099
1960-08-01,23.0831
1960-09-01,22.8415
1960-10-01,22.8147
1960-11-01,22.4926
1960-12-01,22.0631
1961-01-01,22.0900
1961-02-01,22.0631
1961-03-01,22.1973
1961-04-01,22.6536
1961-05-01,23.0025
1961-06-01,23.3246
1961-07-01,23.5930
1961-08-01,23.8078
1961-09-01,23.7809
1961-10-01,24.2372
1961-11-01,24.6130
1961-12-01,24.8277
1962-01-01,24.6130
1962-02-01,25.0156
1962-03-01,25.1498
1962-04-01,25.2035
1962-05-01,25.1766
1962-06-01,25.1230
1962-07-01,25.3645
1962-08-01,25.3914
1962-09-01,25.5524
1962-10-01,25.5793
1962-11-01,25.6866
1962-12-01,25.6866
1963-01-01,25.8745
1963-02-01,26.1698
1963-03-01,26.3308
1963-04-01,26.5724
1963-05-01,26.8945
1963-06-01,26.9750
1963-07-01,26.8676
1963-08-01,26.9213
1963-09-01,27.1897
1963-10-01,27.3776
1963-11-01,27.5118
1963-12-01,27.4581
1964-01-01,27.6997
1964-02-01,27.8876
1964-03-01,27.8876
1964-04-01,28.3439
1964-05-01,28.5049
1964-06-01,28.5854
1964-07-01,28.7733
1964-08-01,28.9612
1964-09-01,29.0686
1964-10-01,28.6659
1964-11-01,29.5517
1964-12-01,29.9006
1965-01-01,30.2227
1965-02-01,30.4106
1965-03-01,30.8132
1965-04-01,30.9474
1965-05-01,31.1890
1965-06-01,31.4305
1965-07-01,31.7258
1965-08-01,31.8600
1965-09-01,31.9405
1965-10-01,32.2626
1965-11-01,32.3968
1965-12-01,32.7994
1966-01-01,33.1215
1966-02-01,33.3363
1966-03-01,33.7925
1966-04-01,33.8462
1966-05-01,34.1683
1966-06-01,34.3293
1966-07-01,34.5172
1966-08-01,34.5441
1966-09-01,34.8662
1966-10-01,35.1077
1966-11-01,34.8661
1966-12-01,34.9467
1967-01-01,35.1115
1967-02-01,34.7133
1967-03-01,34.5176
1967-04-01,34.8432
1967-05-01,34.5392
1967-06-01,34.5349
1967-07-01,34.4562
1967-08-01,35.1164
1967-09-01,35.0594
1967-10-01,35.3449
1967-11-01,35.8504
1967-12-01,36.2365
1968-01-01,36.1975
1968-02-01,36.3272
1968-03-01,36.4406
1968-04-01,36.4934
1968-05-01,36.9027
1968-06-01,37.0383
1968-07-01,36.9815
1968-08-01,37.0847
1968-09-01,37.2251
1968-10-01,37.2990
1968-11-01,37.7815
1968-12-01,37.9008
1969-01-01,38.1301
1969-02-01,38.3741
1969-03-01,38.6750
1969-04-01,38.5327
1969-05-01,38.3871
1969-06-01,38.7621
1969-07-01,38.9667
1969-08-01,39.0563
1969-09-01,39.0475
1969-10-01,39.0589
1969-11-01,38.6908
1969-12-01,38.5869
1970-01-01,37.8724
1970-02-01,37.8474
1970-03-01,37.7983
1970-04-01,37.7011
1970-05-01,37.6572
1970-06-01,37.5354
1970-07-01,37.6275
1970-08-01,37.5604
1970-09-01,37.3015
1970-10-01,36.5553
1970-11-01,36.3339
1970-12-01,37.1684
1971-01-01,37.4543
1971-02-01,37.3829
1971-03-01,37.3424
1971-04-01,37.5521
1971-05-01,37.7426
1971-06-01,37.9009
1971-07-01,37.7909
1971-08-01,37.5716
1971-09-01,38.1822
1971-10-01,38.4680
1971-11-01,38.6313
1971-12-01,39.0772
1972-01-01,40.0157
1972-02-01,40.3955
1972-03-01,40.6940
1972-04-01,41.1164
1972-05-01,41.0952
1972-06-01,41.2034
1972-07-01,41.1879
1972-08-01,41.7352
1972-09-01,42.0547
1972-10-01,42.6321
1972-11-01,43.1184
1972-12-01,43.6139
1973-01-01,43.9001
1973-02-01,44.5630
1973-03-01,44.5844
1973-04-01,44.5103
1973-05-01,44.7949
1973-06-01,44.8241
1973-07-01,45.0160
1973-08-01,44.9347
1973-09-01,45.3440
1973-10-01,45.6563
1973-11-01,45.8834
1973-12-01,45.7719
1974-01-01,45.4415
1974-02-01,45.3088
1974-03-01,45.3135
1974-04-01,45.1860
1974-05-01,45.5153
1974-06-01,45.4720
1974-07-01,45.4708
1974-08-01,45.0331
1974-09-01,45.0658
1974-10-01,44.8969
1974-11-01,43.4159
1974-12-01,41.8924
1975-01-01,41.3111
1975-02-01,40.3562
1975-03-01,39.9284
1975-04-01,39.9825
1975-05-01,39.8893
1975-06-01,40.1595
1975-07-01,40.5909
1975-08-01,40.9584
1975-09-01,41.4732
1975-10-01,41.6418
1975-11-01,41.7507
1975-12-01,42.2684
1976-01-01,42.8850
1976-02-01,43.2957
1976-03-01,43.3395
1976-04-01,43.5878
1976-05-01,43.7862
1976-06-01,43.7843
1976-07-01,44.0423
1976-08-01,44.3471
1976-09-01,44.4774
1976-10-01,44.4925
1976-11-01,45.1442
1976-12-01,45.6135
1977-01-01,45.3646
1977-02-01,46.0550
1977-03-01,46.6286
1977-04-01,47.0508
1977-05-01,47.4509
1977-06-01,47.8008
1977-07-01,47.8822
1977-08-01,47.8922
1977-09-01,48.1184
1977-10-01,48.2307
1977-11-01,48.2623
1977-12-01,48.3303
1978-01-01,47.6720
1978-02-01,47.9164
1978-03-01,48.8192
1978-04-01,49.8393
1978-05-01,50.0106
1978-06-01,50.3556
1978-07-01,50.3372
1978-08-01,50.5218
1978-09-01,50.6636
1978-10-01,51.0728
1978-11-01,51.4450
1978-12-01,51.7376
1979-01-01,51.3926
1979-02-01,51.6837
1979-03-01,51.8569
1979-04-01,51.2945
1979-05-01,51.6919
1979-06-01,51.6850
1979-07-01,51.6005
1979-08-01,51.2595
1979-09-01,51.3229
1979-10-01,51.5950
1979-11-01,51.5496
1979-12-01,51.5990
1980-01-01,51.8227
1980-02-01,51.8523
1980-03-01,51.6869
1980-04-01,50.6413
1980-05-01,49.4133
1980-06-01,48.8003
1980-07-01,48.4819
1980-08-01,48.6125
1980-09-01,49.4073
1980-10-01,50.0203
1980-11-01,50.8923
1980-12-01,51.1886
1981-01-01,50.9085
1981-02-01,50.6585
1981-03-01,50.9285
1981-04-01,50.7029
1981-05-01,51.0228
1981-06-01,51.2552
1981-07-01,51.5854
1981-08-01,51.5768
1981-09-01,51.2536
1981-10-01,50.8998
1981-11-01,50.3323
1981-12-01,49.7768
1982-01-01,48.8027
1982-02-01,49.7531
1982-03-01,49.3840
1982-04-01,48.9496
1982-05-01,48.6488
1982-06-01,48.4896
1982-07-01,48.3322
1982-08-01,47.9335
1982-09-01,47.7816
1982-10-01,47.3564
1982-11-01,47.1725
1982-12-01,46.8316
1983-01-01,47.7196
1983-02-01,47.4310
1983-03-01,47.8140
1983-04-01,48.3951
1983-05-01,48.7317
1983-06-01,49.0093
1983-07-01,49.7543
1983-08-01,50.3086
1983-09-01,51.0787
1983-10-01,51.4926
1983-11-01,51.6677
1983-12-01,51.9253
1984-01-01,52.9632
1984-02-01,53.2164
1984-03-01,53.4651
1984-04-01,53.8086
1984-05-01,54.0599
1984-06-01,54.2482
1984-07-01,54.4279
1984-08-01,54.4617
1984-09-01,54.3773
1984-10-01,54.3060
1984-11-01,54.5139
1984-12-01,54.5713
1985-01-01,54.4371
1985-02-01,54.6664
1985-03-01,54.7455
1985-04-01,54.6042
1985-05-01,54.6782
1985-06-01,54.7159
1985-07-01,54.3390
1985-08-01,54.5707
1985-09-01,54.8135
1985-10-01,54.5916
1985-11-01,54.7719
1985-12-01,55.3412
1986-01-01,55.6062
1986-02-01,55.2091
1986-03-01,54.8519
1986-04-01,54.8839
1986-05-01,54.9927
1986-06-01,54.8165
1986-07-01,55.1675
1986-08-01,55.0457
1986-09-01,55.1503
1986-10-01,55.3968
1986-11-01,55.6593
1986-12-01,56.1333
1987-01-01,55.9679
1987-02-01,56.6775
1987-03-01,56.7642
1987-04-01,57.1169
1987-05-01,57.4935
1987-06-01,57.7707
1987-07-01,58.1523
1987-08-01,58.6196
1987-09-01,58.7737
1987-10-01,59.6354
1987-11-01,59.9604
1987-12-01,60.2533
1988-01-01,60.2832
1988-02-01,60.5286
1988-03-01,60.6669
1988-04-01,60.9879
1988-05-01,60.9180
1988-06-01,61.0765
1988-07-01,61.1063
1988-08-01,61.3905
1988-09-01,61.2132
1988-10-01,61.5021
1988-11-01,61.6122
1988-12-01,61.8936
1989-01-01,62.0714
1989-02-01,61.8060
1989-03-01,61.9610
1989-04-01,62.0166
1989-05-01,61.5631
1989-06-01,61.6029
1989-07-01,61.0102
1989-08-01,61.5621
1989-09-01,61.3843
1989-10-01,61.3103
1989-11-01,61.5146
1989-12-01,61.8768
1990-01-01,61.4882
1990-02-01,62.0678
1990-03-01,62.3988
1990-04-01,62.3357
1990-05-01,62.4364
1990-06-01,62.6392
1990-07-01,62.5683
1990-08-01,62.7314
1990-09-01,62.8608
1990-10-01,62.3779
1990-11-01,61.6370
1990-12-01,61.2198
1991-01-01,60.9412
1991-02-01,60.5393
1991-03-01,60.2144
1991-04-01,60.3452
1991-05-01,60.9449
1991-06-01,61.5109
1991-07-01,61.5154
1991-08-01,61.5997
1991-09-01,62.1313
1991-10-01,61.9921
1991-11-01,61.9329
1991-12-01,61.6968
1992-01-01,61.3162
1992-02-01,61.7625
1992-03-01,62.3018
1992-04-01,62.7350
1992-05-01,62.9477
1992-06-01,62.9333
1992-07-01,63.4966
1992-08-01,63.1933
1992-09-01,63.3374
1992-10-01,63.8251
1992-11-01,64.0929
1992-12-01,64.1359
1993-01-01,64.4420
1993-02-01,64.6798
1993-03-01,64.6500
1993-04-01,64.8439
1993-05-01,64.6069
1993-06-01,64.7218
1993-07-01,64.9088
1993-08-01,64.8689
1993-09-01,65.1755
1993-10-01,65.6744
1993-11-01,65.9414
1993-12-01,66.2823
1994-01-01,66.5527
1994-02-01,66.5732
1994-03-01,67.2551
1994-04-01,67.6129
1994-05-01,67.9941
1994-06-01,68.4527
1994-07-01,68.5674
1994-08-01,68.9525
1994-09-01,69.1966
1994-10-01,69.7795
1994-11-01,70.2111
1994-12-01,70.9325
1995-01-01,71.0773
1995-02-01,71.0101
1995-03-01,71.1135
