date, totvol
2012013122, 33835
2012013123, 1090096
2012020100, 1096715
2012020101, 1145446
2012020102, 1114102
2012020103, 1027412
2012020104, 1046037
2012020105, 940793
2012020106, 785880
2012020107, 696293
2012020108, 666835
2012020109, 687941
2012020110, 769566
2012020111, 905659
2012020112, 1119940
2012020113, 1212759
2012020114, 993164
2012020115, 990329
2012020116, 1085547
2012020117, 1051261
2012020118, 1127733
2012020119, 1141878
2012020120, 1097474
2012020121, 1040608
2012020122, 903188
2012020123, 952467
2012020200, 988441
2012020201, 937581
2012020202, 981434
2012020203, 1021829
2012020204, 1009722
2012020205, 883372
2012020206, 792822
2012020207, 701018
2012020208, 680651
2012020209, 687287
2012020210, 751565
2012020211, 899497
2012020212, 1070628
2012020213, 1016752
2012020214, 889350
2012020215, 1259444
2012020216, 1278395
2012020217, 1223053
2012020218, 1145884
2012020219, 1120773
2012020220, 1179298
2012020221, 1088391
2012020222, 1119456
2012020223, 1050549
2012020300, 1077172
2012020301, 1151305
2012020302, 1148777
2012020303, 1067962
2012020304, 1068003
2012020305, 964687
2012020306, 828530
2012020307, 741559
2012020308, 712945
2012020309, 743740
2012020310, 797083
2012020311, 951908
2012020312, 1107882
2012020313, 1239747
2012020314, 1381035
2012020315, 1466828
2012020316, 1371268
2012020317, 1258339
2012020318, 1169098
2012020319, 1130107
2012020320, 1162884
2012020321, 1198056
2012020322, 1215369
2012020323, 1230775
2012020400, 1214304
2012020401, 1214222
2012020402, 1237213
2012020403, 1241975
2012020404, 1157928
2012020405, 993246
2012020406, 843950
2012020407, 745846
2012020408, 723912
2012020409, 733411
2012020410, 771761
2012020411, 857648
2012020412, 995186
2012020413, 1161677
2012020414, 1362458
2012020415, 1460771
2012020416, 1441094
2012020417, 1331250
2012020418, 1247913
2012020419, 1165749
2012020420, 1138580
2012020421, 1148832
2012020422, 1139241
2012020423, 1193155
2012020500, 1170048
2012020501, 1195071
2012020502, 1230209
2012020503, 1234433
2012020504, 1187624
2012020505, 1091402
2012020506, 929740
2012020507, 801800
2012020508, 757586
2012020509, 749613
2012020510, 785952
2012020511, 869347
2012020512, 994767
2012020513, 1189120
2012020514, 1336580
2012020515, 1467287
2012020516, 1214550
2012020517, 1380272
2012020518, 1127880
2012020519, 1275608
2012020520, 1285674
2012020521, 1296652
2012020522, 1325097
2012020523, 1522652
2012020600, 1327781
2012020601, 1230665
2012020602, 1439385
2012020603, 1263939
2012020604, 1169283
2012020605, 974102
2012020606, 822856
2012020607, 731521
2012020608, 631547
2012020609, 711929
2012020610, 777571
2012020611, 921436
2012020612, 1106243
2012020613, 1249211
2012020614, 1356343
2012020615, 1420656
2012020616, 1366149
2012020617, 1211821
2012020618, 1194082
2012020619, 1192920
2012020620, 1241495
2012020621, 1319110
2012020622, 1373489
2012020623, 1366599
2012020700, 1302961
2012020701, 1330396
2012020702, 1354960
2012020703, 1348126
2012020704, 1144840
2012020705, 940095
2012020706, 793976
2012020707, 700861
2012020708, 669750
2012020709, 684241
2012020710, 747503
2012020711, 889909
2012020712, 1096869
2012020713, 1288750
2012020714, 1385474
2012020715, 1408220
2012020716, 1324875
2012020717, 1211910
2012020718, 1156836
2012020719, 1156449
2012020720, 1206255
2012020721, 1161966
2012020722, 1338810
2012020723, 1331219
2012020800, 1297811
2012020801, 1324013
2012020802, 1338531
2012020803, 1415759
2012020804, 1360385
2012020805, 1003686
2012020806, 800149
2012020807, 695213
2012020808, 669174
2012020809, 681591
2012020810, 763535
2012020811, 889320
2012020812, 1125179
2012020813, 1238259
2012020814, 1365632
2012020815, 1297974
2012020816, 1335734
2012020817, 1223240
2012020818, 1168429
2012020819, 1197836
2012020820, 530498
2012020821, 1274649
2012020822, 1371460
2012020823, 1383891
2012020900, 1343020
2012020901, 1360400
2012020902, 1381766
2012020903, 1352813
2012020904, 1205485
2012020905, 919173
2012020906, 781750
2012020907, 684835
2012020908, 667276
2012020909, 677166
2012020910, 749280
2012020911, 876714
2012020912, 1081160
2012020913, 1226466
2012020914, 1352486
2012020915, 1404123
2012020916, 1217352
2012020917, 1214013
2012020918, 612398
2012020919, 32596
2012020920, 643784
2012020921, 962338
2012020922, 1291983
2012020923, 1339862
2012021000, 1308553
2012021001, 1303208
2012021002, 1324509
2012021003, 1320392
2012021004, 1119990
2012021005, 914834
2012021006, 434230
2012021007, 51152
2012021008, 8943
2012021009, 243342
2012021010, 764537
2012021011, 927244
2012021012, 1086193
2012021013, 1233707
2012021014, 1321800
2012021015, 1435304
2012021016, 1348309
2012021017, 1244582
2012021018, 1132569
2012021019, 1096040
2012021020, 1146804
2012021021, 1209494
2012021022, 1237564
2012021023, 1243244
2012021100, 1219256
2012021101, 1244745
2012021102, 1221755
2012021103, 1237346
2012021104, 1102149
2012021105, 962717
2012021106, 817732
2012021107, 723899
2012021108, 708526
2012021109, 719161
2012021110, 772015
2012021111, 870464
2012021112, 1047967
2012021113, 1145437
2012021114, 1051000
2012021115, 1100677
2012021116, 1013797
2012021117, 1060536
2012021118, 1115088
2012021119, 1075492
2012021120, 1162537
2012021121, 1136281
2012021122, 1135393
2012021123, 1195010
2012021200, 1195858
2012021201, 1133361
2012021202, 1166833
2012021203, 1098036
2012021204, 1059437
2012021205, 1076360
2012021206, 922603
2012021207, 805339
2012021208, 772093
2012021209, 762723
2012021210, 819350
2012021211, 909312
2012021212, 1024215
2012021213, 1188214
2012021214, 1371435
2012021215, 1192995
2012021216, 1152254
2012021217, 1124700
2012021218, 1089692
2012021222, 19228
2012021223, 1122625
2012021300, 1198839
2012021301, 1143644
2012021302, 1205314
2012021303, 1147207
2012021304, 1120258
2012021305, 992027
2012021306, 824862
2012021307, 711918
2012021308, 672465
2012021309, 693361
2012021310, 764541
2012021311, 938948
2012021312, 1121411
2012021313, 1269458
2012021314, 1408027
2012021315, 1477154
2012021316, 1264036
2012021317, 1216726
2012021318, 1181344
2012021319, 1112661
2012021320, 1218905
2012021321, 1308055
2012021322, 1378776
2012021323, 1387447
2012021400, 1347648
2012021401, 1339069
2012021402, 1257350
2012021403, 1378899
2012021404, 1161947
2012021405, 969864
2012021406, 834633
2012021407, 716908
2012021408, 697689
2012021409, 721510
2012021410, 795391
2012021411, 971453
2012021412, 1185341
2012021413, 1307103
2012021414, 1444914
2012021415, 1480683
2012021416, 1345795
2012021417, 1219573
2012021418, 1150399
2012021419, 1156144
2012021420, 1220154
2012021421, 1284371
2012021422, 1324845
2012021423, 1311349
2012021500, 1246771
2012021501, 1243271
2012021502, 1254970
2012021503, 1232668
2012021504, 1062104
2012021505, 866360
2012021506, 741444
2012021507, 665313
2012021508, 660291
2012021509, 689145
2012021510, 773170
2012021511, 913411
2012021512, 1101562
2012021513, 1243834
2012021514, 1377465
2012021515, 1406179
2012021516, 1299551
2012021517, 1197724
2012021518, 1153899
2012021519, 1174129
2012021520, 1237548
2012021521, 1301146
2012021522, 1334695
2012021523, 1349313
2012021600, 1325180
2012021601, 1365598
2012021602, 1348094
2012021603, 1353318
2012021604, 1178754
2012021605, 926367
2012021606, 779300
2012021607, 683624
2012021608, 667637
2012021609, 692672
2012021610, 769109
2012021611, 927321
2012021612, 1117479
2012021613, 1270275
